#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-14 16:41:51"
#data_read_from_db	"2018-03-14 20:45:51"
#database_id	1695
#datapoints_in_db	122947
#database_reference_id	0
#integrated_value	0.23	6.3
#sample_label	"pvc-green0"
#sample_name	"Hobbycolor_Guttagliss_green_(PVC)"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=7304 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	58.1579	210
#intheta	58.1579
#inphi	210
#front_integral	0.229
#incident_and_front_integral	58.1579	210	0.229
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	121969
#format: theta	phi	[uA]

70.26994	141.33832	2.086e-02

70.30140	141.13129	2.077e-02

70.32932	140.90813	2.064e-02

70.35358	140.74014	2.061e-02

70.38540	140.52254	2.062e-02

70.41376	140.33372	2.061e-02

70.45348	140.09866	2.056e-02

70.48023	139.90932	2.052e-02

70.51321	139.70625	2.046e-02

70.54407	139.52010	2.045e-02

70.57967	139.30801	2.043e-02

70.61433	139.10814	2.038e-02

70.65169	138.89583	2.030e-02

70.68581	138.70726	2.028e-02

70.72293	138.50554	2.028e-02

70.76111	138.30246	2.023e-02

70.80088	138.09457	2.014e-02

70.83966	137.89612	2.009e-02

70.92078	137.49146	2.002e-02

70.96861	137.27412	1.995e-02

71.00674	137.08096	1.986e-02

71.09980	136.64864	1.975e-02

71.13707	136.48064	1.974e-02

71.18832	136.25404	1.965e-02

71.23001	136.07266	1.956e-02

71.28022	135.85713	1.948e-02

71.32737	135.65932	1.939e-02

71.37517	135.46065	1.931e-02

71.42368	135.26338	1.924e-02

71.47272	135.06621	1.917e-02

71.52732	134.85088	1.912e-02

71.57793	134.65340	1.907e-02

71.62968	134.45576	1.901e-02

71.68182	134.25909	1.894e-02

71.73932	134.04489	1.888e-02

71.79382	133.84575	1.883e-02

71.84776	133.65071	1.876e-02

71.90334	133.45287	1.869e-02

71.96305	133.24338	1.860e-02

72.02603	133.02647	1.851e-02

72.07455	132.86061	1.841e-02

72.13697	132.65062	1.828e-02

72.20612	132.43016	1.823e-02

72.25583	132.25859	1.813e-02

72.32104	132.04814	1.806e-02

72.38243	131.85213	1.795e-02

72.44444	131.65753	1.788e-02

72.50668	131.46376	1.781e-02

72.57034	131.26791	1.775e-02

72.64004	131.05699	1.769e-02

72.70437	130.86429	1.758e-02

72.76971	130.67128	1.749e-02

72.84156	130.46135	1.744e-02

72.90832	130.26909	1.738e-02

72.97622	130.07549	1.729e-02

73.04421	129.88377	1.719e-02

73.11836	129.68439	1.709e-02

73.18292	129.50014	1.694e-02

73.25294	129.30954	1.686e-02

73.32566	129.11397	1.638e-02

73.39849	128.92030	1.545e-02

73.48590	128.69656	1.396e-02

73.55303	128.51657	1.074e-02

73.62835	128.32349	9.041e-03

73.69760	128.14729	5.935e-03

73.78419	127.92975	3.600e-03

73.87289	127.71530	1.614e-03

73.93061	127.56811	4.292e-04

74.00896	127.37769	1.920e-04

74.09337	127.17493	1.197e-04

74.17840	126.97228	9.085e-05

74.27685	126.74120	7.731e-05

74.33126	126.61460	7.329e-05

74.41294	126.42609	6.770e-05

74.50748	126.21054	6.710e-05

74.58231	126.04150	5.993e-05

74.66503	125.85655	6.557e-05

74.74879	125.67138	7.151e-05

74.84095	125.46949	6.486e-05

74.93285	125.27035	6.295e-05

75.01108	125.10263	5.977e-05

75.09705	124.91967	6.045e-05

75.18450	124.73605	6.107e-05

75.28059	124.53574	5.833e-05

75.36861	124.35429	6.227e-05

75.45766	124.17263	6.639e-05

75.55489	123.97617	5.347e-05

75.65391	123.77787	6.080e-05

75.73727	123.61261	5.303e-05

75.82519	123.43977	5.979e-05

75.92147	123.25224	5.757e-05

76.01509	123.07171	5.634e-05

76.11723	122.87663	6.227e-05

76.20611	122.70832	5.740e-05

76.31194	122.51288	5.923e-05

76.40933	122.32926	6.061e-05

76.51122	122.14189	6.025e-05

76.60527	121.97061	5.432e-05

76.69792	121.80310	5.898e-05

76.80137	121.61791	6.013e-05

76.90075	121.44157	5.470e-05

77.00910	121.25102	6.019e-05

77.10414	121.08530	6.258e-05

77.20741	120.90704	6.264e-05

77.32306	120.70904	6.771e-05

77.42521	120.53584	6.779e-05

77.52055	120.37535	6.048e-05

77.62759	120.19694	6.753e-05

77.73898	120.01267	6.569e-05

77.85272	119.82642	6.491e-05

77.94994	119.66858	7.208e-05

78.06625	119.48113	7.066e-05

78.16755	119.31934	6.632e-05

78.29116	119.12373	6.361e-05

78.39062	118.96753	7.073e-05

